# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=8][T/m^n] 
+0.0000000000000000e+00 -1.9064897394916274e-02 +4.0526914499059771e-06 -4.6051874236604256e+01 +1.0831132757599769e+04 +1.7201910652079169e+07 -6.7190007507303802e+10 
+1.0000000000000001e-01 -1.9064809944342228e-02 +3.9825035444941130e-06 -4.6052119010153305e+01 +1.0826938653578294e+04 +1.7213213250719402e+07 -6.7198130051724174e+10 
+2.0000000000000001e-01 -1.9064547388965816e-02 +3.7894416131945314e-06 -4.6052864186962140e+01 +1.0814567052297518e+04 +1.7245919519259136e+07 -6.7220604046484184e+10 
+3.0000000000000004e-01 -1.9064109423300991e-02 +3.4997583311496052e-06 -4.6054126051709311e+01 +1.0794334026440796e+04 +1.7298227135106266e+07 -6.7254588985796921e+10 
+4.0000000000000002e-01 -1.9063495741863543e-02 +3.1397063743859610e-06 -4.6055920888889318e+01 +1.0766555645827453e+04 +1.7368333789970059e+07 -6.7297244386183601e+10 
+5.0000000000000000e-01 -1.9062706039165021e-02 +2.7355384180289682e-06 -4.6058264983430128e+01 +1.0731547987175783e+04 +1.7454437140553687e+07 -6.7345729708909592e+10 
+6.0000000000000009e-01 -1.9061740009725197e-02 +2.3135071380712429e-06 -4.6061174619426247e+01 +1.0689627114004959e+04 +1.7554734910290692e+07 -6.7397204520286804e+10 
+7.0000000000000007e-01 -1.9060597348055364e-02 +1.8998652092810543e-06 -4.6064666081847513e+01 +1.0641109103815374e+04 +1.7667424751584023e+07 -6.7448828274457649e+10 
+8.0000000000000004e-01 -1.9059277748672755e-02 +1.5208653085012570e-06 -4.6068755655035758e+01 +1.0586310023924625e+04 +1.7790704369043026e+07 -6.7497760508506348e+10 
+9.0000000000000002e-01 -1.9057780906092177e-02 +1.2027601105511358e-06 -4.6073459623583929e+01 +1.0525545945741549e+04 +1.7922771446208410e+07 -6.7541160725929474e+10 
