# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=8][T/m^n] 
+1.0000000000000000e+00 -1.9056106514826542e-02 +9.7180229147432014e-07 -4.6078794272278252e+01 +1.0459132943710085e+04 +1.8061823651398368e+07 -6.7576188406425575e+10 
+1.1000000000000001e+00 -1.9054254282369489e-02 +8.4703833603227264e-07 -4.6084770019425477e+01 +1.0387299019247521e+04 +1.8206494098728888e+07 -6.7600672649992966e+10 
+1.2000000000000002e+00 -1.9052223968121240e-02 +8.1868996836405944e-07 -4.6091373818941797e+01 +1.0309919905078928e+04 +1.8357157569480583e+07 -6.7615120857736313e+10 
+1.3000000000000000e+00 -1.9050015344455808e-02 +8.6977272316309955e-07 -4.6098586758961083e+01 +1.0226783271869464e+04 +1.8514624235590503e+07 -6.7620709964643112e+10 
+1.4000000000000001e+00 -1.9047628183754575e-02 +9.8330213381344066e-07 -4.6106389926863784e+01 +1.0137676778378353e+04 +1.8679704329015762e+07 -6.7618616999934410e+10 
+1.5000000000000000e+00 -1.9045062258388784e-02 +1.1422937343623190e-06 -4.6114764411049137e+01 +1.0042388099346894e+04 +1.8853208001483973e+07 -6.7610018867220024e+10 
+1.6000000000000001e+00 -1.9042317340739117e-02 +1.3297630581937825e-06 -4.6123691299009053e+01 +9.9407048956097078e+03 +1.9035945473507114e+07 -6.7596092576695183e+10 
+1.7000000000000002e+00 -1.9039393203180783e-02 +1.5287256403413464e-06 -4.6133151678696734e+01 +9.8324148345002686e+03 +1.9228726935326993e+07 -6.7578015093720100e+10 
+1.8000000000000000e+00 -1.9036289618090525e-02 +1.7221970132537936e-06 -4.6143126638011324e+01 +9.7173055833877097e+03 +1.9432362574141804e+07 -6.7556963375752312e+10 
+1.9000000000000001e+00 -1.9033006357847399e-02 +1.8931927118626100e-06 -4.6153597264546761e+01 +9.5951648041476510e+03 +1.9647662607040521e+07 -6.7534114429591766e+10 
+2.0000000000000000e+00 -1.9029543194822304e-02 +2.0247282698409269e-06 -4.6164544646755665e+01 +9.4657801725606787e+03 +1.9875437179912701e+07 -6.7510645149059418e+10 
+2.1000000000000001e+00 -1.9025899843334356e-02 +2.1040181401651615e-06 -4.6175951433374621e+01 +9.3289862612236011e+03 +2.0116185800374363e+07 -6.7487201943200569e+10 
+2.2000000000000002e+00 -1.9022075785446249e-02 +2.1350724538241135e-06 -4.6187806519303741e+01 +9.1848053097177562e+03 +2.0369165020527832e+07 -6.7462308649903183e+10 
+2.3000000000000003e+00 -1.9018070445157319e-02 +2.1261002602256207e-06 -4.6200100360887859e+01 +9.0333064727256933e+03 +2.0633320662162911e+07 -6.7433958477924561e+10 
+2.4000000000000004e+00 -1.9013883246466745e-02 +2.0853106090325943e-06 -4.6212823414517494e+01 +8.8745589059147223e+03 +2.0907598541269198e+07 -6.7400144626012497e+10 
+2.5000000000000000e+00 -1.9009513613376175e-02 +2.0209125507921931e-06 -4.6225966136312231e+01 +8.7086317604909691e+03 +2.1190944496914990e+07 -6.7358860329793327e+10 
+2.6000000000000001e+00 -1.9004960969886919e-02 +1.9411151348952516e-06 -4.6239518982423583e+01 +8.5355941880956452e+03 +2.1482304366248745e+07 -6.7308098822211937e+10 
+2.7000000000000002e+00 -1.9000224739996179e-02 +1.8541274109366588e-06 -4.6253472409441208e+01 +8.3555153475618245e+03 +2.1780623949202728e+07 -6.7245853276672470e+10 
+2.8000000000000003e+00 -1.8995304347706982e-02 +1.7681584288514035e-06 -4.6267816873335555e+01 +8.1684643876552518e+03 +2.2084849097428869e+07 -6.7170116948872368e+10 
+2.9000000000000004e+00 -1.8990199217018736e-02 +1.6914172392716691e-06 -4.6282542830472970e+01 +7.9745104635807265e+03 +2.2393925629566513e+07 -6.7078883042102821e+10 
+3.0000000000000000e+00 -1.8984908771931687e-02 +1.6321128912311878e-06 -4.6297640737107677e+01 +7.7737227286365278e+03 +2.2706799374222878e+07 -6.6970144775642250e+10 
+3.1000000000000001e+00 -1.8979432410239316e-02 +1.5963906761455062e-06 -4.6313099492900960e+01 +7.5661604434281080e+03 +2.3022438352572463e+07 -6.6841942174346336e+10 
+3.2000000000000002e+00 -1.8973769424895322e-02 +1.5821408533249637e-06 -4.6328901772296966e+01 +7.3518433151231075e+03 +2.3339899271325927e+07 -6.6692502355053986e+10 
+3.3000000000000003e+00 -1.8967919082649123e-02 +1.5851899238495421e-06 -4.6345028692885109e+01 +7.1307811539858158e+03 +2.3658261051199637e+07 -6.6520099274046989e+10 
+3.4000000000000004e+00 -1.8961880650247304e-02 +1.6013643868266650e-06 -4.6361461372539729e+01 +6.9029837747600677e+03 +2.3976602590427201e+07 -6.6323006852443962e+10 
+3.5000000000000000e+00 -1.8955653394439630e-02 +1.6264907434553473e-06 -4.6378180928814920e+01 +6.6684609871670227e+03 +2.4294002812416378e+07 -6.6099499050703621e+10 
+3.6000000000000001e+00 -1.8949236581971958e-02 +1.6563954944244593e-06 -4.6395168479646600e+01 +6.4272226068324280e+03 +2.4609540611226033e+07 -6.5847849783670914e+10 
+3.7000000000000002e+00 -1.8942629479591421e-02 +1.6869051402528240e-06 -4.6412405142844293e+01 +6.1792784474598857e+03 +2.4922294890297309e+07 -6.5566332980541756e+10 
+3.8000000000000003e+00 -1.8935831354048721e-02 +1.7138461814932723e-06 -4.6429872035882084e+01 +5.9246383175572728e+03 +2.5231344579068154e+07 -6.5253222611189583e+10 
+3.9000000000000004e+00 -1.8928841472088908e-02 +1.7330451177803774e-06 -4.6447550276776255e+01 +5.6633120340675223e+03 +2.5535768564752419e+07 -6.4906792579466675e+10 
+4.0000000000000000e+00 -1.8921659100460880e-02 +1.7403284512314143e-06 -4.6465420983170510e+01 +5.3953094081262643e+03 +2.5834645763633221e+07 -6.4525316834649872e+10 
+4.1000000000000005e+00 -1.8914283481542598e-02 +1.7328459791843713e-06 -4.6483464314353746e+01 +5.1206481298162043e+03 +2.6126976929787729e+07 -6.4106968751930672e+10 
+4.2000000000000002e+00 -1.8906713760233385e-02 +1.7130406940250995e-06 -4.6501656595734516e+01 +4.8393773984700365e+03 +2.6411450198655955e+07 -6.3649519454280403e+10 
+4.2999999999999998e+00 -1.8898949057058356e-02 +1.6846788858088575e-06 -4.6519973194708925e+01 +4.5515542978003559e+03 +2.6686675516034447e+07 -6.3150639447458221e+10 
+4.4000000000000004e+00 -1.8890988492545932e-02 +1.6515268438937047e-06 -4.6538389478328753e+01 +4.2572359060555555e+03 +2.6951262855340373e+07 -6.2607999280676079e+10 
+4.5000000000000000e+00 -1.8882831187228961e-02 +1.6173508585219529e-06 -4.6556880813215443e+01 +3.9564792947774313e+03 +2.7203822223524988e+07 -6.2019269555491699e+10 
+4.6000000000000005e+00 -1.8874476261631488e-02 +1.5859172200719509e-06 -4.6575422566878750e+01 +3.6493415495550939e+03 +2.7442963556637481e+07 -6.1382120762042557e+10 
+4.7000000000000002e+00 -1.8865922836283182e-02 +1.5609922176806971e-06 -4.6593990106232617e+01 +3.3358797463777628e+03 +2.7667296839712851e+07 -6.0694223468001465e+10 
+4.8000000000000007e+00 -1.8857170031712726e-02 +1.5463421416755259e-06 -4.6612558798327214e+01 +3.0161509636191176e+03 +2.7875432045073338e+07 -5.9953248220362129e+10 
+4.9000000000000004e+00 -1.8848216968444496e-02 +1.5457332818566226e-06 -4.6631104010614045e+01 +2.6902122857876229e+03 +2.8065979114712760e+07 -5.9156865519124062e+10 
+5.0000000000000000e+00 -1.8839062767013977e-02 +1.5629319287213719e-06 -4.6649601109454032e+01 +2.3581207803323246e+03 +2.8237548076175354e+07 -5.8302745998156258e+10 
+5.1000000000000005e+00 -1.8829706518651665e-02 +1.6004430218224726e-06 -4.6668025730933948e+01 +2.0199693379207965e+03 +2.8388527067745034e+07 -5.7388242180325035e+10 
+5.2000000000000002e+00 -1.8820147197431265e-02 +1.6557261035827792e-06 -4.6686354583694353e+01 +1.6759940417112812e+03 +2.8516417177381836e+07 -5.6409434940964561e+10 
+5.3000000000000007e+00 -1.8810383748130346e-02 +1.7249793667388182e-06 -4.6704564645235806e+01 +1.3264667845100705e+03 +2.8618497672044184e+07 -5.5362087151529678e+10 
+5.4000000000000004e+00 -1.8800415115531020e-02 +1.8044010042311746e-06 -4.6722632892599719e+01 +9.7165945187424529e+02 +2.8692047855185132e+07 -5.4241961740678230e+10 
+5.5000000000000000e+00 -1.8790240244410707e-02 +1.8901892081331874e-06 -4.6740536303300331e+01 +6.1184393689255273e+02 +2.8734346992003798e+07 -5.3044821576654709e+10 
+5.6000000000000005e+00 -1.8779858079549662e-02 +1.9785421711643798e-06 -4.6758251854547630e+01 +2.4729212763204038e+02 +2.8742674373810928e+07 -5.1766429569630417e+10 
+5.7000000000000002e+00 -1.8769267565727089e-02 +2.0656580860442733e-06 -4.6775756523682162e+01 -1.2172408559361325e+02 +2.8714309279987797e+07 -5.0402548610385246e+10 
+5.8000000000000007e+00 -1.8758467647723015e-02 +2.1477351454413763e-06 -4.6793027287960953e+01 -4.9493281369598589e+02 +2.8646530995712541e+07 -4.8948941598324196e+10 
+5.9000000000000004e+00 -1.8747457270315519e-02 +2.2209715421432294e-06 -4.6810041124817211e+01 -8.7206216510195793e+02 +2.8536618794700865e+07 -4.7401371416098297e+10 
+6.0000000000000000e+00 -1.8736235378285046e-02 +2.2815654686652974e-06 -4.6826775011464768e+01 -1.2528402514298696e+03 +2.8381851965785172e+07 -4.5755600968961044e+10 
+6.1000000000000005e+00 -1.8724800897599436e-02 +2.3267364904140595e-06 -4.6843206601756918e+01 -1.6369452741641996e+03 +2.8179233673612133e+07 -4.4007038701017181e+10 
+6.2000000000000002e+00 -1.8713152678977264e-02 +2.3577896646831375e-06 -4.6859316256040323e+01 -2.0238557944026425e+03 +2.7924662583634511e+07 -4.2149675204142426e+10 
+6.3000000000000007e+00 -1.8701289554328534e-02 +2.3770514226434467e-06 -4.6875085010889535e+01 -2.4130004696740962e+03 +2.7613761270459671e+07 -4.0177146661691742e+10 
+6.4000000000000004e+00 -1.8689210355559687e-02 +2.3868481939014607e-06 -4.6890493903268975e+01 -2.8038079510104358e+03 +2.7242152274732906e+07 -3.8083089202302795e+10 
+6.5000000000000000e+00 -1.8676913914579801e-02 +2.3895064095770797e-06 -4.6905523969843962e+01 -3.1957068944781327e+03 +2.6805458163575370e+07 -3.5861138997442673e+10 
+6.6000000000000005e+00 -1.8664399063297796e-02 +2.3873524995148448e-06 -4.6920156247324762e+01 -3.5881259551822541e+03 +2.6299301498382840e+07 -3.3504932208581455e+10 
+6.7000000000000002e+00 -1.8651664633621022e-02 +2.3827128948346557e-06 -4.6934371772555295e+01 -3.9804937863398304e+03 +2.5719304831788335e+07 -3.1008104984281639e+10 
+6.8000000000000007e+00 -1.8638709457457037e-02 +2.3779140252110053e-06 -4.6948151582376916e+01 -4.3722390410370708e+03 +2.5061090715205889e+07 -2.8364293470573193e+10 
+6.9000000000000004e+00 -1.8625532366714791e-02 +2.3752823218488190e-06 -4.6961476713474426e+01 -4.7627903749528004e+03 +2.4320281713476609e+07 -2.5567133834947010e+10 
+7.0000000000000000e+00 -1.8612132193302315e-02 +2.3771442143545690e-06 -4.6974328202638901e+01 -5.1515764420176383e+03 +2.3492500382457830e+07 -2.2610262230623653e+10 
+7.1000000000000005e+00 -1.8598507759102764e-02 +2.3849643216312116e-06 -4.6986687555600483e+01 -5.5379870640103773e+03 +2.2573249389918450e+07 -1.9487379900277466e+10 
+7.2000000000000002e+00 -1.8584657845899192e-02 +2.3967600118774075e-06 -4.6998538153888326e+01 -5.9212567336987004e+03 +2.1557551850148808e+07 -1.6192448443560373e+10 
+7.3000000000000007e+00 -1.8570581225445693e-02 +2.4096868422311975e-06 -4.7009863848431820e+01 -6.3005811040408280e+03 +2.0440310949580416e+07 -1.2719494485881920e+10 
+7.4000000000000004e+00 -1.8556276669497308e-02 +2.4209003683001923e-06 -4.7020648490005527e+01 -6.6751558308936028e+03 +1.9216429890680183e+07 -9.0625446793590374e+09 
+7.5000000000000000e+00 -1.8541742949817436e-02 +2.4275561470523861e-06 -4.7030875928594703e+01 -7.0441765822404723e+03 +1.7880811936069932e+07 -5.2156257695444813e+09 
+7.6000000000000005e+00 -1.8526978838154996e-02 +2.4268097345035036e-06 -4.7040530015589070e+01 -7.4068390042127176e+03 +1.6428360239109937e+07 -1.1727643313522975e+09 
+7.7000000000000002e+00 -1.8511983106271310e-02 +2.4158166878766108e-06 -4.7049594601182903e+01 -7.7623387614754256e+03 +1.4853978045610759e+07 +3.0720129161657639e+09 
+7.8000000000000007e+00 -1.8496754525922782e-02 +2.3917325629493648e-06 -4.7058053536037271e+01 -8.1098715114693514e+03 +1.3152568565356553e+07 +7.5246793101333742e+09 
+7.9000000000000004e+00 -1.8481291868862704e-02 +2.3517129161286030e-06 -4.7065890671126155e+01 -8.4486329067592960e+03 +1.1319034983792936e+07 +1.2191208225602814e+10 
+8.0000000000000000e+00 -1.8465593906852030e-02 +2.2929133042972930e-06 -4.7073089856658335e+01 -8.7778186119582570e+03 +9.3482805470155720e+06 +1.7077572942484043e+10 
+8.0999999999999996e+00 -1.8449659395090211e-02 +2.2140595229515975e-06 -4.7079638590100458e+01 -9.0965296650290711e+03 +7.2348797127934936e+06 +2.2189881653433567e+10 
+8.2000000000000011e+00 -1.8433487022572258e-02 +2.1201583267167591e-06 -4.7085538953749605e+01 -9.4034886641905741e+03 +4.9720921245467504e+06 +2.7534781667691784e+10 
+8.3000000000000007e+00 -1.8417075461733986e-02 +2.0177867093243526e-06 -4.7090796676958007e+01 -9.6973235840392954e+03 +2.5528486521589113e+06 +3.3119055184481808e+10 
+8.4000000000000004e+00 -1.8400423385015928e-02 +1.9135216642508795e-06 -4.7095417488557217e+01 -9.9766624077435517e+03 -2.9919790236278332e+04 +3.8949484332487167e+10 
+8.5000000000000000e+00 -1.8383529464855660e-02 +1.8139401850068517e-06 -4.7099407117709220e+01 -1.0240133113014079e+04 -2.7832823166699857e+06 +4.5032851285237183e+10 
+8.5999999999999996e+00 -1.8366392373691885e-02 +1.7256192660210401e-06 -4.7102771293456811e+01 -1.0486363679460623e+04 -5.7143080316562243e+06 +5.1375938201451828e+10 
+8.7000000000000011e+00 -1.8349010783964292e-02 +1.6551359006169030e-06 -4.7105515744731179e+01 -1.0713982088607396e+04 -8.8300660294785239e+06 +5.7985527223106941e+10 
+8.8000000000000007e+00 -1.8331383368110184e-02 +1.6090670821349042e-06 -4.7107646200717603e+01 -1.0921616317779612e+04 -1.2137625426275088e+07 +6.4868400527288994e+10 
+8.9000000000000004e+00 -1.8313508798567111e-02 +1.5939898051228482e-06 -4.7109168390569245e+01 -1.1107894344949931e+04 -1.5644055334384844e+07 +7.2031340284478607e+10 
+9.0000000000000000e+00 -1.8295385747777011e-02 +1.6164810621049677e-06 -4.7110088043004275e+01 -1.1271444154859397e+04 -1.9356424832369320e+07 +7.9481128612520645e+10 
+9.0999999999999996e+00 -1.8277012899023434e-02 +1.6807653647884458e-06 -4.7110412203353967e+01 -1.1410871047234590e+04 -2.3281500129952163e+07 +8.7223314272807159e+10 
+9.2000000000000011e+00 -1.8258388978988391e-02 +1.7816572879063900e-06 -4.7110153180192135e+01 -1.1524689632546468e+04 -2.7424835704513699e+07 +9.5258512196160645e+10 
+9.3000000000000007e+00 -1.8239512725202568e-02 +1.9116189236063593e-06 -4.7109324598010971e+01 -1.1611391847067851e+04 -3.1791683110551152e+07 +1.0358610387262074e+11 
+9.4000000000000004e+00 -1.8220382875193418e-02 +2.0631123646820950e-06 -4.7107940081594769e+01 -1.1669469622750386e+04 -3.6387293923409991e+07 +1.1220547082394298e+11 
+9.5000000000000000e+00 -1.8200998166490855e-02 +2.2285997031621209e-06 -4.7106013255535686e+01 -1.1697414894138823e+04 -4.1216919706723541e+07 +1.2111599455493672e+11 
+9.6000000000000014e+00 -1.8181357336625157e-02 +2.4005430313640438e-06 -4.7103557744351349e+01 -1.1693719597249694e+04 -4.6285812015799545e+07 +1.3031705655638322e+11 
+9.7000000000000011e+00 -1.8161459123121924e-02 +2.5714044412483712e-06 -4.7100587173027904e+01 -1.1656875660712865e+04 -5.1599222443161353e+07 +1.3980803837747308e+11 
+9.8000000000000007e+00 -1.8141302263514677e-02 +2.7336460248266199e-06 -4.7097115165778426e+01 -1.1585375025168349e+04 -5.7162402521401502e+07 +1.4958832147396899e+11 
+9.9000000000000004e+00 -1.8120885495330877e-02 +2.8797298751816138e-06 -4.7093155347385711e+01 -1.1477709622609877e+04 -6.2980603825547978e+07 +1.5965728736697696e+11 
+1.0000000000000000e+01 -1.8100207556097741e-02 +3.0021180834916383e-06 -4.7088721342703685e+01 -1.1332371383478998e+04 -6.9059077939927861e+07 +1.7001431759388086e+11 
+1.0100000000000001e+01 -1.8079267267299665e-02 +3.0948513394851682e-06 -4.7083819685202421e+01 -1.1148050083026212e+04 -7.5401158444479093e+07 +1.8065441995178015e+11 
+1.0200000000000001e+01 -1.8058063786219266e-02 +3.1582847196263364e-06 -4.7078428545912260e+01 -1.0924226826033871e+04 -8.2002507155711919e+07 +1.9155510768013818e+11 
+1.0300000000000001e+01 -1.8036596354093982e-02 +3.1943518977221237e-06 -4.7072519004784958e+01 -1.0660580556764720e+04 -8.8856867914262861e+07 +2.0268952032472546e+11 
+1.0400000000000000e+01 -1.8014864212160423e-02 +3.2049865464912049e-06 -4.7066062141791505e+01 -1.0356790219547722e+04 -9.5957984559402078e+07 +2.1403079742814218e+11 
+1.0500000000000000e+01 -1.7992866601654150e-02 +3.1921223404887711e-06 -4.7059029037087519e+01 -1.0012534755291897e+04 -1.0329960094909130e+08 +2.2555207856381366e+11 
+1.0600000000000001e+01 -1.7970602763812543e-02 +3.1576929518893467e-06 -4.7051390770571331e+01 -9.6274931095228840e+03 -1.1087546091631840e+08 +2.3722650326413892e+11 
+1.0700000000000001e+01 -1.7948071939873404e-02 +3.1036320552821320e-06 -4.7043118422140374e+01 -9.2013442274019344e+03 -1.1867930829715799e+08 +2.4902721106776309e+11 
+1.0800000000000001e+01 -1.7925273371071405e-02 +3.0318733233517923e-06 -4.7034183071988373e+01 -8.7337670495858019e+03 -1.2670488694981404e+08 +2.6092734154741592e+11 
+1.0900000000000000e+01 -1.7902206298644297e-02 +2.9443504305514922e-06 -4.7024555800025908e+01 -8.2244405210161676e+03 -1.3494594071143758e+08 +2.7290003424335385e+11 
+1.1000000000000000e+01 -1.7878869963829511e-02 +2.8429970499740111e-06 -4.7014207686150009e+01 -7.6730435872038843e+03 -1.4339621341522709e+08 +2.8491842868847290e+11 
+1.1100000000000001e+01 -1.7855263817684947e-02 +2.7287753267011596e-06 -4.7003086049688577e+01 -7.0798460839783866e+03 -1.5204490116316381e+08 +2.9694648799568604e+11 
+1.1200000000000001e+01 -1.7831388150569186e-02 +2.5987612953012997e-06 -4.6991043165519905e+01 -6.4474814451556340e+03 -1.6086300893966937e+08 +3.0891146928716382e+11 
+1.1300000000000001e+01 -1.7807243462668206e-02 +2.4490594628589728e-06 -4.6977907547235645e+01 -5.7791740063821935e+03 -1.6981699393934625e+08 +3.2073145317247369e+11 
+1.1400000000000000e+01 -1.7782830254160723e-02 +2.2757743355404596e-06 -4.6963507709147784e+01 -5.0781480920289659e+03 -1.7887331341331899e+08 +3.3232452034957324e+11 
+1.1500000000000000e+01 -1.7758149025229094e-02 +2.0750104198351341e-06 -4.6947672165203763e+01 -4.3476280321352579e+03 -1.8799842458448553e+08 +3.4360875147252820e+11 
+1.1600000000000001e+01 -1.7733200276059711e-02 +1.8428722217902441e-06 -4.6930229428932677e+01 -3.5908381635649566e+03 -1.9715878464050379e+08 +3.5450222713906964e+11 
+1.1700000000000001e+01 -1.7707984506829724e-02 +1.5754642485753542e-06 -4.6911008014815934e+01 -2.8110028078642654e+03 -2.0632085084727067e+08 +3.6492302807096735e+11 
+1.1800000000000001e+01 -1.7682502217725195e-02 +1.2688910061016745e-06 -4.6889836436421483e+01 -2.0113463012178679e+03 -2.1545108039612475e+08 +3.7478923487204810e+11 
+1.1900000000000000e+01 -1.7656753908924731e-02 +9.1925700133471228e-07 -4.6866543208047958e+01 -1.1950929683492759e+03 -2.2451593053601462e+08 +3.8401892823645093e+11 
+1.2000000000000000e+01 -1.7630740080613581e-02 +5.2266674096789802e-07 -4.6840956843392505e+01 -3.6546714298354721e+02 -2.3348185847201902e+08 +3.9253018879103516e+11 
+1.2100000000000001e+01 -1.7604461766190939e-02 +8.0241359922754545e-08 -4.6812837849220529e+01 +4.7276138666007029e+02 -2.4230495760846731e+08 +4.0022210499236462e+11 
+1.2200000000000001e+01 -1.7577922131924807e-02 -3.8683148959659424e-07 -4.6781674703621256e+01 +1.3086410024517984e+03 -2.5089986609610301e+08 +4.0691779654669293e+11 
+1.2300000000000001e+01 -1.7551124877302548e-02 -8.5234752625667735e-07 -4.6746887877257976e+01 +2.1296746242901695e+03 -2.5917085824816781e+08 +4.1242139093324048e+11 
+1.2400000000000000e+01 -1.7524073701809539e-02 -1.2901024694042161e-06 -4.6707897841008410e+01 +2.9233651756617410e+03 -2.6702220839671412e+08 +4.1653701566160236e+11 
+1.2500000000000000e+01 -1.7496772304931740e-02 -1.6738920377397501e-06 -4.6664125065681390e+01 +3.6772155788390801e+03 -2.7435819086722493e+08 +4.1906879823053400e+11 
+1.2600000000000001e+01 -1.7469224386156935e-02 -1.9775119506610140e-06 -4.6614990021917414e+01 +4.3787287535767009e+03 -2.8108307997293741e+08 +4.1982086612005450e+11 
+1.2700000000000001e+01 -1.7441433644967280e-02 -2.1747579265964704e-06 -4.6559913180891854e+01 +5.0154076278189459e+03 -2.8710115006759143e+08 +4.1859734687294684e+11 
+1.2800000000000001e+01 -1.7413403780852689e-02 -2.2394256850288796e-06 -4.6498315013035700e+01 +5.5747551180309738e+03 -2.9231667544787532e+08 +4.1520236794326385e+11 
+1.2900000000000000e+01 -1.7385138493299934e-02 -2.1453109443526930e-06 -4.6429615989083146e+01 +6.0442741454089974e+03 -2.9663393043420476e+08 +4.0944005682222046e+11 
+1.3000000000000000e+01 -1.7356641481793333e-02 -1.8662094239486420e-06 -4.6353236579998942e+01 +6.4114676345994330e+03 -2.9995718936376196e+08 +4.0111454102666174e+11 
+1.3100000000000001e+01 -1.7327917399947112e-02 -1.3938623181919260e-06 -4.6268480340510173e+01 +6.6614882622779232e+03 -3.0217744054173684e+08 +3.9001058359050116e+11 
+1.3200000000000001e+01 -1.7298974717894742e-02 -7.9179272553377016e-07 -4.6174183160291001e+01 +6.7700877103919756e+03 -3.0313252812717259e+08 +3.7583548958330310e+11 
+1.3300000000000001e+01 -1.7269822859899042e-02 -1.4146921794045062e-07 -4.6069064012827219e+01 +6.7106674136113497e+03 -3.0264701025036699e+08 +3.5827719959653918e+11 
+1.3400000000000000e+01 -1.7240471250219814e-02 +4.7563963049615603e-07 -4.5951841871893166e+01 +6.4566288110257965e+03 -3.0054544506344461e+08 +3.3702365425545404e+11 
+1.3500000000000000e+01 -1.7210929313116331e-02 +9.7806524668745716e-07 -4.5821235711323041e+01 +5.9813733427356392e+03 -2.9665239072383326e+08 +3.1176279419383777e+11 
+1.3600000000000001e+01 -1.7181206472852140e-02 +1.2843390570177107e-06 -4.5675964504511278e+01 +5.2583024418212326e+03 -2.9079240535335225e+08 +2.8218255998934766e+11 
+1.3700000000000001e+01 -1.7151312153686028e-02 +1.3129924890445060e-06 -4.5514747225350789e+01 +4.2608175493819999e+03 -2.8279004711469460e+08 +2.4797089228429507e+11 
+1.3800000000000001e+01 -1.7121255779883049e-02 +9.8255696857393819e-07 -4.5336302847093222e+01 +2.9623200963099630e+03 -2.7246987411885470e+08 +2.0881573163956815e+11 
+1.3900000000000000e+01 -1.7091046775701762e-02 +2.1156392304456355e-07 -4.5139350343633268e+01 +1.3362115235498813e+03 -2.5965644452714169e+08 +1.6440501869463074e+11 
+1.4000000000000000e+01 -1.7060694565402917e-02 -1.0814552211253505e-06 -4.4922608688669776e+01 -6.4410673078690047e+02 -2.4417431648749214e+08 +1.1442669406899339e+11 
+1.4100000000000001e+01 -1.7030209687715406e-02 -2.9258193052319897e-06 -4.4684676711238211e+01 -3.0072451510706837e+03 -2.2584044083401027e+08 +5.8567202664378487e+10 
+1.4200000000000001e+01 -1.6999607139240175e-02 -5.1422482395418231e-06 -4.4423672662029944e+01 -5.7898619043331582e+03 -2.0444133919009385e+08 -3.4929934095887923e+09 
+1.4300000000000001e+01 -1.6968903031042610e-02 -7.4993122027329676e-06 -4.4137594647401812e+01 -9.0306270751301508e+03 -1.7975592588967758e+08 -7.2074927723432785e+10 
+1.4400000000000000e+01 -1.6938113474186545e-02 -9.7655813732284713e-06 -4.3824440773950947e+01 -1.2768210743581823e+04 -1.5156311529108617e+08 -1.4749963380716678e+11 
+1.4500000000000000e+01 -1.6907254579742608e-02 -1.1709625930352636e-05 -4.3482209147517089e+01 -1.7041283002368349e+04 -1.1964182168734390e+08 -2.3008814529554214e+11 
+1.4600000000000001e+01 -1.6876342458774347e-02 -1.3100016052630535e-05 -4.3108897874706827e+01 -2.1888513931577840e+04 -8.3770959436636329e+07 -3.2016149571907104e+11 
+1.4700000000000001e+01 -1.6845393222351120e-02 -1.3705321917617971e-05 -4.2702505061507637e+01 -2.7348573621417170e+04 -4.3729442844887644e+07 -4.1804071869179370e+11 
+1.4800000000000001e+01 -1.6814422981536618e-02 -1.3294113704979340e-05 -4.2261028814486657e+01 -3.3460132152791826e+04 +7.0381373446326493e+05 -5.2404684775236169e+11 
