# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] 
+0.0000000000000000e+00 -1.9063877148461930e-02 +2.2747083851949381e-07 +3.7275951486699007e+01 +1.3754928845921273e+04 +1.3045837721515261e+07 +4.1637323289777573e+10 
+1.0000000000000001e-01 -1.9063788651604425e-02 +2.9249992737337313e-07 +3.7275685332519657e+01 +1.3755244819098180e+04 +1.3044409642039729e+07 +4.1640105400758858e+10 
+2.0000000000000001e-01 -1.9063523143547690e-02 +4.7739062978713138e-07 +3.7274888946521614e+01 +1.3756166024476734e+04 +1.3040289752610501e+07 +4.1648126532051193e+10 
+3.0000000000000004e-01 -1.9063080598066294e-02 +7.6684809875035080e-07 +3.7273565443586001e+01 +1.3757652389834862e+04 +1.3033724581351209e+07 +4.1660898874306145e+10 
+4.0000000000000002e-01 -1.9062460988935149e-02 +1.1455774878392797e-06 +3.7271717938632406e+01 +1.3759663842318014e+04 +1.3024960659651151e+07 +4.1677934612970619e+10 
+5.0000000000000000e-01 -1.9061664289928278e-02 +1.5982839503495866e-06 +3.7269349546495306e+01 +1.3762160310385079e+04 +1.3014244512353497e+07 +4.1698745943698891e+10 
+6.0000000000000009e-01 -1.9060690474820077e-02 +2.1096726399765539e-06 +3.7266463382048215e+01 +1.3765101721849529e+04 +1.3001822667675998e+07 +4.1722845056696434e+10 
+7.0000000000000007e-01 -1.9059539517385357e-02 +2.6644487095715997e-06 +3.7263062560193738e+01 +1.3768448004185799e+04 +1.2987941655150292e+07 +4.1749744140546371e+10 
+8.0000000000000004e-01 -1.9058211391398003e-02 +3.2473173128746428e-06 +3.7259150195760796e+01 +1.3772159085882002e+04 +1.2972847999652524e+07 +4.1778955390657875e+10 
+9.0000000000000002e-01 -1.9056706070633547e-02 +3.8429836030219316e-06 +3.7254729403721967e+01 +1.3776194893293205e+04 +1.2956788236439453e+07 +4.1809990986512383e+10 
+1.0000000000000000e+00 -1.9055023528865237e-02 +4.4361527337300055e-06 +3.7249803298838579e+01 +1.3780515356013628e+04 +1.2940008884679772e+07 +4.1842363132626999e+10 
+1.1000000000000001e+00 -1.9053163699913347e-02 +5.0136127499697334e-06 +3.7244376109887234e+01 +1.3785045959484622e+04 +1.2922962576896351e+07 +4.1875224742498726e+10 
+1.2000000000000002e+00 -1.9051126357778496e-02 +5.5704832649028403e-06 +3.7238456520961925e+01 +1.3789574424084194e+04 +1.2906926341284787e+07 +4.1906291655774033e+10 
+1.3000000000000000e+00 -1.9048911236505244e-02 +6.1039667840591925e-06 +3.7232054329867402e+01 +1.3793854030838038e+04 +1.2893383295183348e+07 +4.1932920459118950e+10 
+1.4000000000000001e+00 -1.9046518070138855e-02 +6.6112658122374561e-06 +3.7225179334487457e+01 +1.3797638059460469e+04 +1.2883816562719043e+07 +4.1952467728367561e+10 
+1.5000000000000000e+00 -1.9043946592725115e-02 +7.0895828547336844e-06 +3.7217841332748272e+01 +1.3800679789074187e+04 +1.2879709270780407e+07 +4.1962290035238663e+10 
+1.6000000000000001e+00 -1.9041196538309921e-02 +7.5361204167206464e-06 +3.7210050122590744e+01 +1.3802732498515868e+04 +1.2882544547870953e+07 +4.1959743948728317e+10 
+1.7000000000000002e+00 -1.9038267640937780e-02 +7.9480810030735258e-06 +3.7201815501823631e+01 +1.3803549468711024e+04 +1.2893805511919200e+07 +4.1942186054504807e+10 
+1.8000000000000000e+00 -1.9035159634654519e-02 +8.3226671194582328e-06 +3.7193147268381246e+01 +1.3802883978589822e+04 +1.2914975291000115e+07 +4.1906972922183937e+10 
+1.9000000000000001e+00 -1.9031872253505732e-02 +8.6570812703333334e-06 +3.7184055220168666e+01 +1.3800489307623235e+04 +1.2947537010191835e+07 +4.1851461126391457e+10 
